player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,week,year
Michael Dickson,35381,P,SEA,1,7,7,4.43,44.57,49.86,8.5,0,0,1,3,29,64.7,3,64,0,0,28.6,17,2,7,31.04,312,1,349,15,2022
A.J. Cole III,36038,P,LV,1,7,7,4.38,42.71,46.29,8.3,0,0,1,1,23,68.0,2,50,2,0,42.9,25,3,7,30.64,299,0,324,15,2022
J.K. Scott,38809,P,LAC,1,7,7,4.5,38.71,41.57,0.0,0,0,0,3,27,57.5,2,54,1,0,28.6,0,2,7,31.47,271,1,291,15,2022
Corliss Waitman,39620,P,DEN,1,5,5,4.47,42.6,44.8,5.5,0,0,1,1,10,64.4,3,56,1,0,40.0,11,2,5,22.33,213,0,224,15,2022
Mitch Wishnowsky,44663,P,SF,1,6,6,4.38,38.83,42.17,,0,0,1,4,28,58.8,3,46,0,0,0.0,0,0,6,26.26,233,1,253,15,2022
Braden Mann,44664,P,NYJ,1,6,6,4.32,32.17,50.0,47.0,0,0,0,1,22,69.6,1,55,1,0,16.7,47,1,6,25.93,193,3,300,15,2022
Drue Chrisman,44787,P,CIN,1,4,4,4.11,41.5,45.0,7.0,0,0,0,1,7,61.1,2,53,1,0,50.0,14,2,4,16.43,166,0,180,15,2022
Blake Gillikin,45045,P,NO,1,4,4,3.97,42.0,45.25,6.5,0,0,1,1,20,63.0,2,53,0,0,50.0,13,2,4,15.86,168,0,181,15,2022
Ryan Stonehouse,52045,P,TEN,1,7,7,4.39,45.57,56.0,13.3,0,0,1,1,31,71.0,4,68,0,0,57.1,53,4,7,30.71,319,1,392,15,2022
Jordan Stout,57649,P,BLT,1,1,1,4.12,41.0,41.0,,0,0,0,1,3,60.0,1,41,0,0,0.0,0,0,1,4.12,41,0,41,15,2022
Trenton Gill,60295,P,CHI,1,6,6,4.18,40.83,42.0,7.0,0,0,2,1,6,63.8,3,56,2,0,16.7,7,1,6,25.07,245,0,252,15,2022
Pressley Harvin III,62973,P,PIT,1,3,3,4.58,38.67,45.33,,0,0,0,1,25,63.0,0,54,1,0,0.0,0,0,3,13.75,116,1,136,15,2022
Jamie Gillan,63303,P,NYG,1,5,5,4.27,41.8,42.6,4.0,0,0,0,4,21,60.0,3,56,0,0,20.0,4,1,5,21.36,209,0,213,15,2022
Ryan Wright,77591,P,MIN,1,5,5,4.56,46.0,46.0,0.0,1,0,1,3,18,63.0,2,63,0,0,20.0,0,1,6,22.81,230,0,230,15,2022
Jake Camarda,82636,P,TB,1,1,1,4.78,51.0,51.0,,0,0,0,1,30,60.0,0,51,0,0,0.0,0,0,1,4.78,51,0,51,15,2022
Andy Lee,1906,P,ARZ,1,7,7,4.45,44.0,46.0,14.0,0,0,1,5,1,62.9,4,58,0,0,14.3,14,1,7,31.17,308,0,322,16,2022
Thomas Morstead,5088,P,MIA,1,1,1,4.5,44.0,46.0,2.0,0,0,0,0,17,60.0,1,46,0,0,100.0,2,1,1,4.5,44,0,46,16,2022
Bryan Anger,7072,P,DAL,1,1,1,4.73,57.0,57.0,,0,0,0,1,9,60.0,0,57,0,0,0.0,0,0,1,4.73,57,0,57,16,2022
Johnny Hekker,7252,P,CAR,1,3,3,3.82,32.33,39.0,,0,0,0,1,5,58.7,2,52,1,0,0.0,0,0,3,11.46,97,1,117,16,2022
Sam Martin,7947,P,BUF,1,3,3,3.95,49.67,53.67,12.0,0,0,1,0,4,63.5,1,62,1,0,33.3,12,1,3,11.86,149,0,161,16,2022
Tress Way,8358,P,WAS,1,4,4,4.07,45.0,48.0,6.0,0,0,1,1,32,58.8,1,62,0,0,50.0,12,2,4,16.27,180,0,192,16,2022
Pat O'Donnell,8826,P,GB,1,1,1,4.38,46.0,46.0,,0,0,0,1,12,60.0,0,46,0,0,0.0,0,0,1,4.38,46,0,46,16,2022
Michael Palardy,9277,P,NE,1,6,6,3.9,33.83,39.67,11.7,0,0,0,2,19,47.5,2,52,1,0,50.0,35,3,6,23.41,203,0,238,16,2022
Bradley Pinion,9598,P,ATL,1,3,3,3.93,32.67,37.33,7.0,0,0,0,1,2,52.2,0,41,0,0,66.7,14,2,3,11.79,98,0,112,16,2022
Matt Haack,12212,P,IND,1,3,3,3.77,40.33,48.67,8.3,0,0,0,0,14,57.9,1,53,0,0,100.0,25,3,3,11.32,121,0,146,16,2022
Cameron Johnston,12255,P,HST,1,5,5,4.12,41.0,44.2,8.0,0,0,2,1,13,56.4,2,53,0,0,40.0,16,2,5,20.61,205,0,221,16,2022
Corey Bojorquez,27626,P,CLV,1,5,5,3.94,38.6,42.6,0.0,0,0,2,1,8,52.1,3,57,0,0,20.0,0,1,5,19.7,193,1,213,16,2022
Logan Cooke,29214,P,JAX,1,2,2,3.47,32.0,32.0,,0,0,1,0,15,58.8,2,38,1,0,0.0,0,0,2,6.94,64,0,64,16,2022
Tommy Townsend,33007,P,KC,1,6,6,4.28,39.0,41.0,6.0,0,0,1,2,16,56.7,4,56,1,0,33.3,12,2,6,25.67,234,0,246,16,2022
Jack Fox,34735,P,DET,1,4,4,4.04,48.75,51.5,2.8,0,0,0,0,11,52.8,2,54,0,0,100.0,11,4,4,16.15,195,0,206,16,2022
Michael Dickson,35381,P,SEA,1,5,5,4.02,44.0,47.6,6.0,0,0,1,0,29,54.4,1,56,1,0,60.0,18,3,5,20.1,220,0,238,16,2022
A.J. Cole III,36038,P,LV,1,5,5,4.01,39.8,41.6,9.0,0,0,0,2,23,52.9,1,47,2,0,20.0,9,1,5,20.03,199,0,208,16,2022
J.K. Scott,38809,P,LAC,1,4,4,4.67,33.25,38.25,,0,0,0,2,27,59.6,1,42,1,0,0.0,0,0,4,18.66,133,1,153,16,2022
Corliss Waitman,39620,P,DEN,1,2,2,4.28,44.0,50.0,12.0,0,0,0,1,10,60.9,1,56,0,0,50.0,12,1,2,8.56,88,0,100,16,2022
Mitch Wishnowsky,44663,P,SF,1,2,2,4.45,38.0,40.0,4.0,0,0,0,1,28,60.1,1,41,0,0,50.0,4,1,2,8.9,76,0,80,16,2022
Braden Mann,44664,P,NYJ,1,5,5,4.04,39.4,40.2,4.0,0,0,0,1,22,59.5,2,51,3,0,20.0,4,1,5,20.19,197,0,201,16,2022
Drue Chrisman,44787,P,CIN,1,3,3,3.71,38.67,42.33,5.5,0,0,0,1,7,59.0,1,48,0,0,66.7,11,2,3,11.14,116,0,127,16,2022
Blake Gillikin,45045,P,NO,1,6,6,3.5,36.5,42.33,7.5,0,0,3,0,20,49.2,2,52,0,0,33.3,15,2,6,20.99,219,1,254,16,2022
Ryan Stonehouse,52045,P,TEN,1,6,6,4.02,43.33,50.17,8.2,0,0,1,0,31,59.5,1,61,0,0,83.3,41,5,6,24.14,260,0,301,16,2022
Jordan Stout,57649,P,BLT,1,3,3,4.06,38.33,38.33,,0,0,0,2,3,58.0,1,41,1,0,0.0,0,0,3,12.17,115,0,115,16,2022
Trenton Gill,60295,P,CHI,1,4,4,4.13,44.0,49.25,7.0,0,0,1,0,6,62.6,1,63,0,0,75.0,21,3,4,16.51,176,0,197,16,2022
Pressley Harvin III,62973,P,PIT,1,3,3,4.54,42.33,46.67,13.0,0,0,1,0,25,64.3,1,55,1,0,33.3,13,1,3,13.62,127,0,140,16,2022
Jamie Gillan,63303,P,NYG,1,3,3,4.33,40.67,43.0,7.0,1,0,0,2,21,64.3,3,61,0,0,33.3,7,1,4,13.0,122,0,129,16,2022
Ryan Wright,77591,P,MIN,1,5,5,4.0,42.6,48.2,4.0,0,0,0,0,18,59.0,1,57,2,0,40.0,8,2,5,19.99,213,1,241,16,2022
Jake Camarda,82636,P,TB,1,5,5,4.45,34.6,48.8,14.2,0,0,0,0,30,58.1,1,57,0,0,100.0,71,5,5,22.26,173,0,244,16,2022
