p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,week,year,plyr_number
joeflacco_nyj_2022_11,nyj_2022_11,joeflacco_nyj_2022,nyj_2022,joeflacco,4332,qb,nyj,1,80.4,51,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
joeburrow_cin_2022_11,cin_2022_11,joeburrow_cin_2022,cin_2022,joeburrow,28022,qb,cin,1,71.4,49,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mattryan_ind_2022_11,ind_2022_11,mattryan_ind_2022,ind_2022,mattryan,4317,qb,ind,1,72.3,47,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
trevorlawrence_jax_2022_11,jax_2022_11,trevorlawrence_jax_2022,jax_2022,trevorlawrence,77632,qb,jax,1,69.4,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
russellwilson_den_2022_11,den_2022_11,russellwilson_den_2022,den_2022,russellwilson,7077,qb,den,1,75.6,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
matthewstafford_lar_2022_11,lar_2022_11,matthewstafford_lar_2022,lar_2022,matthewstafford,4924,qb,lar,1,79.5,39,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
patrickmahomes_kc_2022_11,kc_2022_11,patrickmahomes_kc_2022,kc_2022,patrickmahomes,11765,qb,kc,1,79.5,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
mitchelltrubisky_pit_2022_11,pit_2022_11,mitchelltrubisky_pit_2022,pit_2022,mitchelltrubisky,11757,qb,pit,1,63.6,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
davismills_hou_2022_11,hou_2022_11,davismills_hou_2022,hou_2022,davismills,52269,qb,hou,1,71.4,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
derekcarr_lv_2022_11,lv_2022_11,derekcarr_lv_2022,lv_2022,derekcarr,8671,qb,lv,1,66.7,33,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jaredgoff_det_2022_11,det_2022_11,jaredgoff_det_2022,det_2022,jaredgoff,10635,qb,det,1,67.6,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
kylermurray_ari_2022_11,ari_2022_11,kylermurray_ari_2022,ari_2022,kylermurray,38334,qb,ari,1,75.9,29,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jacobybrissett_cle_2022_11,cle_2022_11,jacobybrissett_cle_2022,cle_2022,jacobybrissett,10725,qb,cle,1,66.7,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
justinherbert_lac_2022_11,lac_2022_11,justinherbert_lac_2022,lac_2022,justinherbert,28237,qb,lac,1,84.8,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jameiswinston_no_2022_11,no_2022_11,jameiswinston_no_2022,no_2022,jameiswinston,9434,qb,no,1,77.4,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
aaronrodgers_gb_2022_11,gb_2022_11,aaronrodgers_gb_2022,gb_2022,aaronrodgers,2241,qb,gb,1,80.0,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
tuatagovailoa_mia_2022_11,mia_2022_11,tuatagovailoa_mia_2022,mia_2022,tuatagovailoa,60326,qb,mia,1,77.4,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
marcusmariota_atl_2022_11,atl_2022_11,marcusmariota_atl_2022,atl_2022,marcusmariota,9435,qb,atl,1,62.5,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
ryantannehill_ten_2022_11,ten_2022_11,ryantannehill_ten_2022,ten_2022,ryantannehill,7014,qb,ten,1,80.0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
jalenhurts_phi_2022_11,phi_2022_11,jalenhurts_phi_2022,phi_2022,jalenhurts,40291,qb,phi,1,83.3,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2022,11
